# [Sort by displacement]
# module_name  displacement  area  num_nets  disp*area  disp*num_nets  after_x  after_y  before_x  before_y
cc_24  34.103179  11478.315247  26  391447.037342  886.682649  440.630077  209.356984  456.807095  239.379157
cc_11  29.424872  11297.085066  27  332415.281200  794.471542  66.724575  210.243902  69.756098  239.512195
clk  22.929486  464.571954  7  10652.395970  160.506400  276.023381  273.658537  298.952867  273.658537
cc_12  13.583314  11297.085066  25  153451.854737  339.582852  176.968477  154.422226  176.968477  140.838912
cc_22  12.682927  11478.315247  24  145578.632385  304.390244  328.351541  226.696231  328.351541  239.379157
cc_21  12.429045  11478.315247  24  142664.496373  298.297079  187.065510  235.530874  198.883795  239.379157
cc_13  4.275575  11297.085066  25  48301.538398  106.889384  267.503621  47.989153  263.228046  47.989153
cc_23  2.656152  11478.315247  24  30488.147170  63.747642  329.366218  145.454545  329.366218  142.798394
cc_14  0.000000  11297.085066  24  0.000000  0.000000  407.015816  47.968119  407.015816  47.968119

# [Sort by displacement * area]
# module_name  displacement  area  num_nets  disp*area  disp*num_nets  after_x  after_y  before_x  before_y
cc_24  34.103179  11478.315247  26  391447.037342  886.682649  440.630077  209.356984  456.807095  239.379157
cc_11  29.424872  11297.085066  27  332415.281200  794.471542  66.724575  210.243902  69.756098  239.512195
cc_12  13.583314  11297.085066  25  153451.854737  339.582852  176.968477  154.422226  176.968477  140.838912
cc_22  12.682927  11478.315247  24  145578.632385  304.390244  328.351541  226.696231  328.351541  239.379157
cc_21  12.429045  11478.315247  24  142664.496373  298.297079  187.065510  235.530874  198.883795  239.379157
cc_13  4.275575  11297.085066  25  48301.538398  106.889384  267.503621  47.989153  263.228046  47.989153
cc_23  2.656152  11478.315247  24  30488.147170  63.747642  329.366218  145.454545  329.366218  142.798394
clk  22.929486  464.571954  7  10652.395970  160.506400  276.023381  273.658537  298.952867  273.658537
cc_14  0.000000  11297.085066  24  0.000000  0.000000  407.015816  47.968119  407.015816  47.968119

# [Sort by displacement * num_nets]
# module_name  displacement  area  num_nets  disp*area  disp*num_nets  after_x  after_y  before_x  before_y
cc_24  34.103179  11478.315247  26  391447.037342  886.682649  440.630077  209.356984  456.807095  239.379157
cc_11  29.424872  11297.085066  27  332415.281200  794.471542  66.724575  210.243902  69.756098  239.512195
cc_12  13.583314  11297.085066  25  153451.854737  339.582852  176.968477  154.422226  176.968477  140.838912
cc_22  12.682927  11478.315247  24  145578.632385  304.390244  328.351541  226.696231  328.351541  239.379157
cc_21  12.429045  11478.315247  24  142664.496373  298.297079  187.065510  235.530874  198.883795  239.379157
clk  22.929486  464.571954  7  10652.395970  160.506400  276.023381  273.658537  298.952867  273.658537
cc_13  4.275575  11297.085066  25  48301.538398  106.889384  267.503621  47.989153  263.228046  47.989153
cc_23  2.656152  11478.315247  24  30488.147170  63.747642  329.366218  145.454545  329.366218  142.798394
cc_14  0.000000  11297.085066  24  0.000000  0.000000  407.015816  47.968119  407.015816  47.968119
