# [Sort by displacement]
# module_name  displacement  area  num_nets  disp*area  disp*num_nets  after_x  after_y  before_x  before_y
r802  20.238227  7.790400  24  157.663895  485.717457  6.396576  4.248645  26.338509  7.699027
r695  19.010005  7.790402  24  148.095583  456.240111  33.311338  23.358838  15.778111  30.705008
r527  18.802376  7.790401  24  146.478059  451.257029  9.452413  26.848476  17.856096  10.028622
r530  17.822071  7.790399  24  138.841047  427.729704  40.571621  24.151097  29.476710  10.203726
r424  17.095517  7.790400  24  133.180909  410.292401  23.648338  11.017055  19.472904  27.594824
r404  16.613010  9.469032  24  157.309118  398.712236  15.633400  26.998385  1.922486  36.379373
r561  16.413300  7.790402  24  127.866211  393.919203  5.652583  10.075213  13.248392  24.625130
r271  16.229421  7.790400  24  126.433679  389.506109  26.029489  3.021789  12.313355  11.697144
r284  16.196610  40.165043  24  650.537539  388.718641  14.270606  14.968262  3.537518  2.838504
r580  15.945556  7.790401  24  124.222280  382.693342  41.708379  30.137566  27.498750  22.902429
r240  14.123256  7.790400  24  110.025814  338.958133  20.891972  18.700858  22.071052  4.626907
r135  13.963142  7.790400  24  108.778461  335.115408  29.302950  35.220712  15.399896  36.514706
r256  13.569582  7.790399  24  105.712460  325.669972  6.331201  7.294471  18.677350  12.925294
r815  13.255615  7.790400  24  103.266552  318.134771  14.165354  23.932732  9.424551  11.553874
r19  12.970903  7.790401  24  101.048535  311.301676  35.704529  29.035699  24.427370  22.627110
r289  12.210284  9.469030  24  115.619551  293.046824  18.944801  15.911849  10.165690  24.398206
r660  11.690221  7.790400  24  91.071498  280.565311  11.155548  30.618380  8.852836  42.079567
r119  11.545641  7.790401  24  89.945165  277.095375  35.756656  43.888734  27.685971  35.632473
r783  11.399718  7.790399  24  88.808348  273.593233  8.669905  9.522683  16.459392  1.199374
r405  11.170291  9.469034  24  105.771858  268.086974  12.678329  41.572081  1.772653  39.155139
r784  10.493426  7.790401  24  81.747996  251.842228  13.602532  9.818962  19.599981  1.208352
r150  10.177070  9.469030  24  96.366974  244.249674  1.799319  34.129769  11.969709  34.498463
r260  10.122544  7.790401  24  78.858671  242.941052  34.609923  14.432164  33.996474  4.328225
r149  10.085352  9.469032  24  95.498526  242.048453  15.761315  41.235134  8.570423  34.163685
r307  10.049104  9.469033  24  95.155300  241.178506  10.072963  16.764045  16.253005  24.688159
r528  9.954893  7.790401  24  77.552612  238.917435  30.414691  11.363748  20.555442  9.987121
r560  9.784818  9.469034  24  92.652774  234.835635  14.955192  6.926045  9.006241  14.694741
r529  9.647571  0.075000  24  0.723568  231.541705  15.003781  2.815768  22.397021  9.013802
r421  9.642995  9.469034  24  91.309845  231.431878  12.354156  27.633499  4.936278  33.794866
r275  9.254980  7.790400  24  72.099998  222.119515  27.992437  22.764698  27.170069  13.546327
r133  9.203501  7.790399  24  71.698947  220.884026  15.322050  30.503170  8.651778  36.844455
r408  8.942413  7.790401  24  69.664984  214.617921  18.351097  20.050839  22.712434  27.857599
r801  8.916124  7.790400  24  69.460177  213.986988  31.793523  7.989699  22.911254  7.213447
r239  8.788920  7.790400  24  68.469204  210.934090  26.822129  44.574618  18.033407  44.633629
r257  8.721899  7.790402  24  67.947103  209.325578  31.180608  13.848126  23.445427  9.818425
r804  8.577009  7.790401  24  66.818339  205.848208  27.311236  8.760641  35.881807  8.428412
r134  8.558710  9.469030  24  81.042690  205.409051  20.540797  36.464571  12.071907  37.701271
r547  8.398948  7.790399  24  65.431157  201.574763  37.454138  11.987306  29.996329  15.850390
r55  8.245802  7.790400  24  64.238098  197.899252  44.551074  30.286815  36.367632  29.274624
r662  8.177450  7.790401  24  63.705612  196.258800  9.651220  41.354969  17.812184  41.873968
r600  8.040608  7.790399  24  62.639543  192.974593  43.818991  44.314369  35.778383  44.314369
r545  8.016902  9.469030  24  75.912286  192.405642  18.928684  13.321281  18.070846  21.292154
r309  7.958241  7.790401  24  61.997890  190.997788  37.001055  17.331743  30.408704  21.789828
r512  7.937019  7.790398  24  61.832540  190.488467  14.744747  1.501436  22.671860  1.897884
r1  7.897190  7.790399  24  61.522260  189.532569  18.630987  10.295129  18.981066  18.184557
r294  7.747298  7.790401  24  60.354555  185.935147  44.006927  15.371739  36.275258  14.879888
r526  7.653429  7.790400  24  59.623272  183.682302  21.109040  7.246649  13.547702  6.062951
r798  7.634443  7.790398  24  59.475356  183.226642  6.481152  1.493506  8.612289  8.824466
r3  7.587774  7.790401  24  59.111796  182.106566  37.694152  14.487287  30.211764  13.227058
r678  7.521892  7.790400  24  58.598548  180.525399  13.131449  33.016107  11.975205  40.448600
r254  7.442700  7.790400  24  57.981617  178.624810  17.498012  3.899636  11.893847  8.797301
r782  7.437804  7.790401  24  57.943475  178.507295  18.415554  7.018904  13.482802  1.452138
r238  7.321570  7.790401  24  57.037966  175.717677  23.675219  7.337207  16.371358  6.828290
r273  7.276818  7.790399  24  56.689314  174.643622  21.950486  21.767682  18.129165  15.574979
r258  7.191498  7.790401  24  56.024653  172.595946  22.872541  4.432165  26.595986  10.584693
r693  6.946919  40.165048  24  279.023338  166.726060  8.238166  36.163273  9.113726  29.271751
r0  6.867812  7.790400  24  53.503002  164.827482  11.131730  9.888030  15.059367  15.521900
r583  6.505233  7.790399  24  50.678356  156.125583  43.954798  27.059705  37.477186  26.460873
r4  6.503498  7.790401  24  50.664855  156.083954  27.089381  11.327476  33.472951  12.570666
r423  6.366878  7.790400  24  49.600521  152.805064  44.331789  38.413542  44.832521  32.066385
r255  6.112179  7.790400  24  47.616324  146.692301  21.018551  10.417936  15.308096  12.597257
r17  5.995100  7.790397  24  46.704215  143.882410  16.893655  23.151362  13.322471  27.966741
r786  5.849751  7.790400  24  45.571900  140.394017  34.361809  1.470646  28.513889  1.324316
r661  5.720380  7.790398  24  44.564036  137.289119  17.412563  44.520871  11.808073  43.375258
r116  5.720331  7.790400  24  44.563669  137.287948  13.425536  36.331308  8.633334  39.454926
r277  5.712011  7.790398  24  44.498842  137.088275  40.899491  15.142492  36.428828  11.587179
r22  5.689496  7.790398  24  44.323439  136.547903  37.716062  9.834774  39.665378  15.179914
r311  5.586104  7.790400  24  43.517988  134.066502  30.921152  22.727027  36.243111  21.029586
r39  5.532928  9.469030  24  52.391463  132.790277  44.157222  24.318214  38.727160  23.256269
r548  5.504755  7.790399  24  42.884235  132.114114  44.243840  10.262155  39.158776  12.370342
r663  5.346276  7.790400  24  41.649628  128.310628  44.680398  41.056920  44.680398  35.710643
r781  5.330368  40.165046  24  214.094474  127.928832  2.530529  4.835150  4.645568  9.727943
r20  5.234726  7.790400  24  40.780607  125.633418  35.913731  26.024971  33.437102  21.413176
r694  5.220770  7.790400  24  40.671882  125.298473  7.959409  31.326048  13.178615  31.198275
r800  5.214943  7.790401  24  40.626495  125.158626  14.879739  4.348536  19.371203  6.998514
r677  5.201840  7.790398  24  40.524406  124.844161  4.338890  34.146655  5.328936  39.253411
r132  5.029763  7.790400  24  39.183870  120.714321  7.136189  41.347434  5.426466  36.617174
r241  5.005031  7.790401  24  38.991200  120.120746  20.062200  4.115487  25.042431  4.613119
r510  4.843844  7.790400  24  37.735479  116.252252  20.139516  1.276633  16.073599  3.909339
r511  4.687097  7.790399  24  36.514354  112.490323  23.125628  1.700549  19.081103  4.069239
r581  4.538638  7.790400  24  35.357808  108.927322  38.791367  26.642570  34.253031  26.694877
r5  4.496483  7.790401  24  35.029402  107.915586  34.281187  8.620313  38.773315  8.818148
r546  4.440490  7.790402  24  34.593201  106.571753  31.409473  16.330345  26.999158  16.847135
r532  4.422742  9.469031  24  41.879079  106.145798  34.179305  11.473519  32.859800  7.252199
r117  4.219100  7.790402  24  32.868487  101.258404  11.354969  44.453757  14.825870  42.055079
r563  4.169366  7.790401  24  32.481034  100.064793  25.227651  23.790596  26.886142  19.965282
r599  3.988108  7.790400  24  31.068953  95.714583  35.905224  40.991014  37.430927  37.306285
r762  3.707433  3.652219  24  13.540358  88.978388  2.135400  16.856761  5.842833  16.856761
r259  3.645229  7.790401  24  28.397797  87.485504  26.240662  5.814034  29.638291  7.134570
r291  3.554170  9.469034  24  33.654559  85.300086  24.473241  20.644156  20.963209  21.202549
r290  3.524234  40.165045  24  141.551020  84.581618  3.371817  19.853892  5.570762  22.607956
r422  3.502190  7.790400  24  27.283459  84.052556  1.459883  37.155317  1.459883  33.653128
r2  3.478274  7.790400  24  27.097143  83.478568  27.216832  19.206965  23.817560  19.944081
r531  3.391232  7.790398  24  26.419045  81.389567  29.758320  8.324092  32.658879  10.081137
r785  3.326528  7.790399  24  25.914985  79.836682  28.960705  1.455688  25.634177  1.455688
r272  3.268901  40.165045  24  131.295556  78.453624  9.032520  22.046830  11.190981  19.591884
r242  2.952829  7.790400  24  23.003721  70.867902  33.632761  4.420503  30.680930  4.343718
r514  2.947241  7.790402  24  22.960191  70.733783  31.074061  4.479427  31.505719  1.563968
r274  2.931932  40.165046  24  117.761202  70.366380  25.954179  15.185767  23.033213  14.932414
r328  2.771192  7.790400  24  21.588691  66.508596  31.668061  1.422195  34.439253  1.422195
r734  2.740321  40.165044  24  110.065131  65.767715  3.897270  13.723015  3.897270  16.463337
r118  2.705915  7.790400  24  21.080158  64.941957  12.799976  39.057005  15.502783  39.186648
r288  2.694679  7.790399  24  20.992624  64.672291  9.935200  13.079998  12.074119  14.718997
r696  2.666912  7.790399  24  20.776312  64.005898  18.954489  27.170539  16.317403  27.568283
r562  2.660166  7.790398  24  20.723753  63.843990  13.016698  20.201548  15.319436  21.533421
r565  2.614142  9.469031  24  24.753396  62.739417  38.338916  20.720267  38.310747  18.106276
r56  2.526394  40.165047  24  101.472717  60.633445  42.011957  34.490902  39.851710  33.180941
r803  2.479620  7.790400  24  19.317229  59.510870  1.917317  10.019690  1.015794  7.709761
r21  2.457503  7.790398  24  19.144922  58.980061  35.707711  20.436850  35.279735  18.016901
r679  2.442059  7.790399  24  19.024616  58.609424  16.331848  35.562311  18.652058  36.324074
r37  2.200901  7.790398  24  17.145892  52.821613  30.548121  26.139499  31.660652  24.240489
r543  2.196574  7.790400  24  17.112191  52.717779  44.437653  12.807291  44.437653  10.610717
r391  2.183066  7.790399  24  17.006958  52.393594  26.728554  35.325683  24.546175  35.380474
r276  2.179238  7.790399  24  16.977133  52.301709  34.445833  17.171959  33.290762  15.324018
r407  1.915541  7.790400  24  14.922833  45.972988  23.517220  36.844714  21.619073  37.102276
r54  1.846813  9.469032  24  17.487536  44.323523  33.011047  26.862654  31.180864  27.109938
r598  1.788058  7.790401  24  13.929689  42.913395  33.196891  32.049697  31.474871  32.531152
r327  1.786082  7.790399  24  13.914293  42.865973  36.686542  32.191655  34.902348  32.273755
r310  1.736464  7.790401  24  13.527754  41.675145  37.050829  23.595723  35.358526  23.984848
r390  1.672125  7.790400  24  13.026519  40.130990  17.270742  38.086823  18.624967  39.067678
r293  1.669575  7.790400  24  13.006657  40.069798  32.820931  19.994832  32.367977  18.387874
r544  1.629378  7.790402  24  12.693513  39.105083  15.857918  20.062376  15.633222  18.448565
r308  1.565102  7.790398  24  12.192771  37.562460  21.924839  26.389458  22.034231  24.828183
r462  1.534845  6.045568  24  9.279011  36.836284  28.810294  13.851209  30.345139  13.851209
r374  1.528992  7.790398  24  11.911460  36.695817  25.970868  38.386759  24.452804  38.204278
r388  1.442221  40.165046  24  57.926874  34.613305  2.739467  42.154804  3.665407  43.260533
r38  1.433352  7.790400  24  11.166388  34.400456  38.537910  29.806744  39.724337  29.002449
r566  1.405866  7.790400  24  10.952255  33.740773  40.947658  12.786504  42.325064  13.067948
r86  1.342258  40.165041  24  53.911843  32.214189  33.924146  36.625377  32.585023  36.717064
r559  1.326009  3.652219  24  4.842876  31.824219  2.720030  13.474836  2.604169  14.795774
